pid,call,time,duration,bytes,fs
55680,mmap,12:50:14.046830,7.6e-05,0, 
55680,close,12:50:14.047089,6.9e-05,0, 
55680,futex,12:50:14.047292,7.8e-05,0, 
55680,getcwd,12:50:14.047632,7.1e-05,0, 
55680,openat,12:50:14.047974,6.4e-05,0, 
55680,fcntl,12:50:14.048160,3.3e-05,0, 
55680,read,12:50:14.048360,7.2e-05,[<4KB],/dev/urandom
55680,close,12:50:14.048535,4.4e-05,0, 
55680,gettid,12:50:14.048946,0.000218,0, 
55680,mmap,12:50:14.049338,9.5e-05,0, 
55680,mmap,12:50:14.049580,7e-05,0, 
55680,mmap,12:50:14.049868,0.000107,0, 
55680,brk,12:50:14.051277,7.4e-05,0, 
55680,mmap,12:50:14.054048,0.000122,0, 
55680,brk,12:50:14.054654,8.3e-05,0, 
55680,stat,12:50:14.055772,0.000118,0, 
55680,openat,12:50:14.056073,6.7e-05,0, 
55680,openat,12:50:14.056310,7.3e-05,0, 
55680,readlink,12:50:14.056543,7.1e-05,0, 
55680,readlink,12:50:14.056766,8.1e-05,0, 
55680,openat,12:50:14.057005,8.3e-05,0, 
55680,openat,12:50:14.057196,5.9e-05,0, 
55680,openat,12:50:14.057383,3.9e-05,0, 
55680,stat,12:50:14.057524,3.4e-05,0, 
55680,stat,12:50:14.057613,3.2e-05,0, 
55680,stat,12:50:14.057695,3.8e-05,0, 
55680,stat,12:50:14.057778,0.000115,0, 
55680,stat,12:50:14.058014,7.2e-05,0, 
55680,stat,12:50:14.058243,5e-05,0, 
55680,stat,12:50:14.058455,3.5e-05,0, 
55680,stat,12:50:14.058718,5.8e-05,0, 
55680,stat,12:50:14.058890,7.9e-05,0, 
55680,stat,12:50:14.059156,7.8e-05,0, 
55680,stat,12:50:14.059396,3.8e-05,0, 
55680,stat,12:50:14.059499,3.3e-05,0, 
55680,sysinfo,12:50:14.060591,0.000118,0, 
55680,brk,12:50:14.061473,0.000124,0, 
55680,openat,12:50:14.061770,0.000103,0, 
55680,fstat,12:50:14.062067,5.7e-05,0, 
55680,fstat,12:50:14.062253,3.3e-05,0, 
55680,read,12:50:14.062440,7.2e-05,[<4MB],/usr/share
55680,lseek,12:50:14.062626,3.3e-05,0, 
55680,read,12:50:14.062708,3.3e-05,[<4MB],/usr/share
55680,close,12:50:14.062787,3.4e-05,0, 
55680,stat,12:50:14.063019,0.000118,0, 
